Time,X,Y,Z
1.015000000000000346e+00,-1.455530608175221019e+01,-1.727040767806360577e+01,3.914180769888392319e+01
1.020000000000000240e+00,-1.471238468105550190e+01,-1.722954227327575794e+01,3.961668208952677617e+01
1.025000000000000133e+00,-1.485692849365110924e+01,-1.715433664264300972e+01,4.009079031455805620e+01
1.030000000000000027e+00,-1.498765626316581567e+01,-1.704446499981139240e+01,4.056039157524287475e+01
1.034999999999999920e+00,-1.510335371100987345e+01,-1.689999116278846358e+01,4.102165187086912823e+01
1.039999999999999813e+00,-1.520289298980781467e+01,-1.672138983414444269e+01,4.147069953491642735e+01
1.044999999999999707e+00,-1.528525199227936859e+01,-1.650955914869980745e+01,4.190368532382522204e+01
1.049999999999999600e+00,-1.534953298253720710e+01,-1.626582341963380074e+01,4.231684542541073313e+01
1.054999999999999494e+00,-1.539497999527008787e+01,-1.599192535722027664e+01,4.270656549745747554e+01
1.059999999999999387e+00,-1.542099445015276693e+01,-1.569000744701800976e+01,4.306944367255423600e+01
1.064999999999999281e+00,-1.542714845613629748e+01,-1.536258263450152839e+01,4.340235039192413780e+01
1.069999999999999174e+00,-1.541319533352029580e+01,-1.501249494311677957e+01,4.370248297146376615e+01
1.074999999999999067e+00,-1.537907695962456422e+01,-1.464287112114358180e+01,4.396741296165107826e+01
1.079999999999998961e+00,-1.532492764339308344e+01,-1.425706483713061168e+01,4.419512463421730786e+01
1.084999999999998854e+00,-1.525107435064888151e+01,-1.385859529373327170e+01,4.438404329783445235e+01
1.089999999999998748e+00,-1.515803322889109772e+01,-1.345108238034803705e+01,4.453305258941988853e+01
1.094999999999998641e+00,-1.504650251150597740e+01,-1.303818061849287169e+01,4.464150037742236776e+01
1.099999999999998535e+00,-1.491735200873005418e+01,-1.262351416234989898e+01,4.470919341536423985e+01
1.104999999999998428e+00,-1.477160950958759678e+01,-1.221061500231236430e+01,4.473638136421362788e+01
1.109999999999998321e+00,-1.461044451907821973e+01,-1.180286629352393035e+01,4.472373122979022497e+01
1.114999999999998215e+00,-1.443514983316743994e+01,-1.140345241427346323e+01,4.467229361082252126e+01
1.119999999999998108e+00,-1.424712150732739602e+01,-1.101531697668527698e+01,4.458346240651005843e+01
1.124999999999998002e+00,-1.404783780099401902e+01,-1.064112959358491750e+01,4.445892978025976561e+01
1.129999999999997895e+00,-1.383883768066553088e+01,-1.028326178018384063e+01,4.430063821826073678e+01
1.134999999999997788e+00,-1.362169944042000047e+01,-9.943771964423854470e+00,4.411073146536703149e+01
1.139999999999997682e+00,-1.339801995367373344e+01,-9.624399218097847708e+00,4.389150598048666296e+01
1.144999999999997575e+00,-1.316939500829345633e+01,-9.326565018988336675e+00,4.364536434790345254e+01
1.149999999999997469e+00,-1.293740110350830541e+01,-9.051382122507760641e+00,4.337477183054257068e+01
1.154999999999997362e+00,-1.270357900636559556e+01,-8.799669463547875381e+00,4.308221697717662124e+01
1.159999999999997256e+00,-1.246941928242619291e+01,-8.571971923605692822e+00,4.277017691742668859e+01
1.164999999999997149e+00,-1.223634993416847117e+01,-8.368583778311432297e+00,4.244108771271944391e+01
1.169999999999997042e+00,-1.200572620461122675e+01,-8.189574676537016984e+00,4.209731989099842764e+01
1.174999999999996936e+00,-1.177882253559463166e+01,-8.034817082712066849e+00,4.174115908682582443e+01
1.179999999999996829e+00,-1.155682661174079762e+01,-7.904014226574918922e+00,4.137479154152101302e+01
1.184999999999996723e+00,-1.134083537330953284e+01,-7.796727737493283072e+00,4.100029409165858851e+01
1.189999999999996616e+00,-1.113185284421416199e+01,-7.712404283028524432e+00,4.061962818723991120e+01
1.194999999999996509e+00,-1.093078959502177661e+01,-7.650400674584267868e+00,4.023463742968293388e+01
1.199999999999996403e+00,-1.073846364403856235e+01,-7.610007039680939833e+00,3.984704809957047900e+01
1.204999999999996296e+00,-1.055560259147066837e+01,-7.590467785483031804e+00,3.945847214924391011e+01
1.209999999999996190e+00,-1.038284678087013901e+01,-7.591000188340987442e+00,3.907041216002740924e+01
1.214999999999996083e+00,-1.022075328726777066e+01,-7.610810537544350218e+00,3.868426780255762054e+01
1.219999999999995977e+00,-1.006980054122098878e+01,-7.649107837763263085e+00,3.830134338634819358e+01
1.224999999999995870e+00,-9.930393411207985466e+00,-7.705115134321229853e+00,3.792285613702657088e+01
1.229999999999995763e+00,-9.802868582248949636e+00,-7.778078569736971204e+00,3.754994489312047534e+01
1.234999999999995657e+00,-9.687500085353425661e+00,-7.867274310588669550e+00,3.718367896611670886e+01
1.239999999999995550e+00,-9.584504849565098183e+00,-7.972013502616118075e+00,3.682506695577974654e+01
1.244999999999995444e+00,-9.494048165349372681e+00,-8.091645421079469713e+00,3.647506535606903100e+01
1.249999999999995337e+00,-9.416248964345744099e+00,-8.225558984678514207e+00,3.613458682464993643e+01
1.254999999999995230e+00,-9.351184835725435462e+00,-8.373182796609873080e+00,3.580450802060983051e+01
1.259999999999995124e+00,-9.298896713315279783e+00,-8.533983867224939956e+00,3.548567694056011135e+01
1.264999999999995017e+00,-9.259393180134212642e+00,-8.707465160668583337e+00,3.517891970306086336e+01
1.269999999999994911e+00,-9.232654347986381183e+00,-8.893162094042013521e+00,3.488504674564166663e+01
1.274999999999994804e+00,-9.218635279280210426e+00,-9.090638103064193842e+00,3.460485840810290625e+01
1.279999999999994698e+00,-9.217268926364667436e+00,-9.299479373753673173e+00,3.433914988080686470e+01
1.284999999999994591e+00,-9.228468570502165846e+00,-9.519288826019529637e+00,3.408871549786071853e+01
1.289999999999994484e+00,-9.252129748272901466e+00,-9.749679422819216512e+00,3.385435235299878087e+01
1.294999999999994378e+00,-9.288131657891378623e+00,-9.990266868202970940e+00,3.363686321111273969e+01
1.299999999999994271e+00,-9.336338041793107223e+00,-1.024066174954073460e+01,3.343705868125710623e+01
1.304999999999994165e+00,-9.396597545110910943e+00,-1.050046117389167932e+01,3.325575860805537332e+01
1.309999999999994058e+00,-9.468743552508609440e+00,-1.076923994617026992e+01,3.309379262822663748e+01
1.314999999999993952e+00,-9.552593508484928719e+00,-1.104654133780692860e+01,3.295199982792775018e+01
1.319999999999993845e+00,-9.647947728918516930e+00,-1.133186749930094805e+01,3.283122742527540083e+01
1.324999999999993738e+00,-9.754587714516365082e+00,-1.162466957870634765e+01,3.273232839133920891e+01
1.329999999999993632e+00,-9.872273980176906605e+00,-1.192433762094010241e+01,3.265615791271622470e+01
1.334999999999993525e+00,-1.000074341831043157e+01,-1.223019034007646511e+01,3.260356859023976739e+01
1.339999999999993419e+00,-1.013970621909612824e+01,-1.254146487864256443e+01,3.257540426228680275e+01
1.344999999999993312e+00,-1.028884237671291757e+01,-1.285730669440677332e+01,3.257249233850566128e+01
1.349999999999993205e+00,-1.044779781796211005e+01,-1.317675974615099577e+01,3.259563453170777336e+01
1.354999999999993099e+00,-1.061618019858233808e+01,-1.349875718513349909e+01,3.264559588341209206e+01
1.359999999999992992e+00,-1.079355442308371060e+01,-1.382211279780157298e+01,3.272309199348198661e+01
1.364999999999992886e+00,-1.097943795618946616e+01,-1.414551348687945165e+01,3.282877438792682767e+01
1.369999999999992779e+00,-1.117329600798918321e+01,-1.446751312089014085e+01,3.296321399276168052e+01
1.374999999999992673e+00,-1.137453669060366579e+01,-1.478652812462418176e+01,3.312688272728284034e+01
1.379999999999992566e+00,-1.158250626134406147e+01,-1.510083522263129474e+01,3.332013328850370470e+01
1.384999999999992459e+00,-1.179648458567570124e+01,-1.540857178145516748e+01,3.354317727075250843e+01
1.389999999999992353e+00,-1.201568097225474219e+01,-1.570773922040277704e+01,3.379606185098112547e+01
1.394999999999992246e+00,-1.223923055117656311e+01,-1.599620997089209773e+01,3.407864537083781897e+01
1.399999999999992140e+00,-1.246619138442212105e+01,-1.627173845612589531e+01,3.439057225967231801e+01
